op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,ApplyMomentum,ApplyMomentum-op126,Default/optimizer-Momentum/ApplyMomentum-op126,1875,2.99396,0.00159678,8.15631e-05,Default,7094
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op124,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op124,1875,4126.03,2.20055,0.112403,Default,7094
Host,ApplyMomentum,ApplyMomentum-op123,Default/optimizer-Momentum/ApplyMomentum-op123,1875,338.856,0.180723,0.00923129,Default,7094
Host,MaxPoolGrad,MaxPoolGrad-op115,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op115,1875,1427.65,0.761413,0.0388927,Default,7094
Host,BiasAddGrad,BiasAddGrad-op112,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op112,1875,9.78816,0.00522035,0.000266654,Default,7094
Host,ReluGrad,ReluGrad-op122,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op122,1875,445.842,0.237782,0.0121458,Default,7094
Host,ReluGrad,ReluGrad-op109,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op109,1875,8.42705,0.00449443,0.000229574,Default,7094
Host,ApplyMomentum,ApplyMomentum-op116,Default/optimizer-Momentum/ApplyMomentum-op116,1875,70.6406,0.037675,0.00192443,Default,7094
Host,MatMul,MatMul-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op106,1875,334.408,0.178351,0.00911011,Default,7094
Host,ReluGrad,ReluGrad-op117,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op117,1875,104.551,0.0557607,0.00284824,Default,7094
Host,BiasAddGrad,BiasAddGrad-op105,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op105,1875,3.87984,0.00206925,0.000105697,Default,7094
Host,MatMul,MatMul-op93,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op93,1875,340.033,0.181351,0.00926333,Default,7094
Host,BiasAddGrad,BiasAddGrad-op100,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op100,1875,7.3462,0.00391797,0.000200129,Default,7094
Host,Reshape,Reshape-op89,Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/Reshape-op89,1875,16.2124,0.0086466,0.000441666,Default,7094
Host,Conv2D,Conv2D-op83,Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/Conv2D-op83,1875,3783.32,2.01777,0.103067,Default,7094
Host,ApplyMomentum,ApplyMomentum-op125,Default/optimizer-Momentum/ApplyMomentum-op125,1875,13.6781,0.007295,0.000372626,Default,7094
Host,ReLU,ReLU-op92,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op92,1875,331.665,0.176888,0.00903537,Default,7094
Host,BiasAdd,BiasAdd-op91,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op91,1875,16.1013,0.00858737,0.00043864,Default,7094
Host,ApplyMomentum,ApplyMomentum-op120,Default/optimizer-Momentum/ApplyMomentum-op120,1875,2.11885,0.00113005,5.77228e-05,Default,7094
Host,Conv2D,Conv2D-op86,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op86,1875,3064.12,1.6342,0.0834744,Default,7094
Host,MatMul,MatMul-op90,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op90,1875,623.248,0.332399,0.0169788,Default,7094
Host,Conv2DBackpropInput,Conv2DBackpropInput-op119,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op119,1875,3579.46,1.90905,0.0975135,Default,7094
Host,BiasAdd,BiasAdd-op94,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op94,1875,8.1443,0.00434363,0.000221871,Default,7094
Host,ReLU,ReLU-op95,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op95,1875,249.087,0.132846,0.00678574,Default,7094
Host,MaxPool,MaxPool-op88,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op88,1875,2226.9,1.18768,0.0606662,Default,7094
Host,BiasAdd,BiasAdd-op97,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op97,1875,4.30802,0.00229761,0.000117361,Default,7094
Host,ApplyMomentum,ApplyMomentum-op113,Default/optimizer-Momentum/ApplyMomentum-op113,1875,2.11601,0.00112854,5.76454e-05,Default,7094
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op98,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op98,1875,340.946,0.181838,0.00928822,Default,7094
Host,MatMul,MatMul-op107,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op107,1875,270.039,0.144021,0.00735654,Default,7094
Host,MaxPool,MaxPool-op85,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op85,1875,5592.17,2.98249,0.152345,Default,7094
Host,MatMul,MatMul-op96,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op96,1875,27.021,0.0144112,0.000736119,Default,7094
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op99,Gradients/Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/gradSparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op99,1875,275.102,0.146721,0.00749446,Default,7094
Host,ReLU,ReLU-op84,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op84,1875,1152.62,0.61473,0.0314002,Default,7094
Host,MatMul,MatMul-op101,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op101,1875,30.9845,0.0165251,0.000844096,Default,7094
Host,Reshape,Reshape-op114,Gradients/Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/gradReshape/Reshape-op114,1875,11.5943,0.00618362,0.000315857,Default,7094
Host,ReLU,ReLU-op87,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op87,1875,577.388,0.30794,0.0157295,Default,7094
Host,MatMul,MatMul-op102,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op102,1875,21.8727,0.0116655,0.000595868,Default,7094
Host,ApplyMomentum,ApplyMomentum-op103,Default/optimizer-Momentum/ApplyMomentum-op103,1875,2.18476,0.00116521,5.95184e-05,Default,7094
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op118,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op118,1875,3406.09,1.81658,0.0927904,Default,7094
Host,MatMul,MatMul-op110,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op110,1875,342.639,0.182741,0.00933435,Default,7094
Host,ReluGrad,ReluGrad-op104,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op104,1875,8.75165,0.00466755,0.000238417,Default,7094
Host,MaxPoolGrad,MaxPoolGrad-op121,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op121,1875,3117.55,1.6627,0.08493,Default,7094
Host,MatMul,MatMul-op111,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op111,1875,381.217,0.203316,0.0103853,Default,7094
Host,ApplyMomentum,ApplyMomentum-op108,Default/optimizer-Momentum/ApplyMomentum-op108,1875,8.25184,0.00440098,0.000224801,Default,7094
