Gradients/Default/network-WithLossCell/_loss_fn-MSELoss/gradSquare/Mul-op30;HostCpuOps;352025555571703,0.007227 352025793968107,0.001808 352026013573904,0.002013 352026229004006,0.001282 352026439299539,0.003469 352026652430174,0.002136 352026864200214,0.001607 352029723374445,0.002399 352029936187303,0.00305 352030148750365,0.002359 352030364385726,0.001528 352030602022484,0.002034 352030857851252,0.001917 352031094457669,0.001572 352031336169982,0.001722 352031577515562,0.00195 352031821703404,0.001797 352032052660798,0.002183 352032278644314,0.001988 352032502380559,0.001918 352032720585438,0.001962 352032942995049,0.00192 352033157033156,0.001696 352033389745549,0.001746 352033605766808,0.00233 352033820900858,0.002321 352034048657697,0.002373 352034278285664,0.002104 352034505188274,0.002 352034727504852,0.002456 352034948816032,0.001685 352035169079269,0.001719 352035385905376,0.00226 352035606646797,0.001585 352035831283640,0.001832 352036051050693,0.001794 352036270335293,0.002215 352036488489127,0.002558 352036713576880,0.002298 352036935421842,0.001584 352037150744310,0.001519 352037369151694,0.001587 352037583345308,0.001773 352037795684117,0.001896 352038010004184,0.00179 352038222610181,0.001913 352038433418424,0.001978 352038646647716,0.001954 352038863512359,0.001877 352039071805937,0.00237 352039282647792,0.001831 352039493390066,0.00262 352039704645216,0.002465 352039914475983,0.002125 352040124310716,0.001943 352040332912329,0.002068 352040548199818,0.00287 352040763138301,0.001231 352040972111407,0.001779 352041181811048,0.001847 352041392851149,0.001774 352041604540592,0.002481 352041816622747,0.002029 352042028733948,0.002067 352042239427976,0.001963 352042448487426,0.002073 352042660899996,0.001927 352042869680471,0.001478 352043082404182,0.002454 352043301804318,0.002314 352043514067944,0.001855 352043722398364,0.001909 352043935485844,0.002602 352044143819690,0.002348 352044353305750,0.002246 352044563031259,0.00238 352044775393170,0.003234 352044985072330,0.001936 352045196566344,0.001989 352045408110736,0.001761 352045617783996,0.002206 352045828378391,0.002069 352046037798852,0.002276 352046247600397,0.001732 352046458113674,0.001239 352046666297384,0.002028 352046879115855,0.00237 352047089199158,0.002187 352047298432489,0.001948 352047506806687,0.002062 352047715574834,0.002391 352047929296701,0.002133 352048139800136,0.002068 352048349507236,0.001366 352048559070958,0.001795 352048768165022,0.002331 352048980414644,0.00157 352049192867434,0.00207 352049402665233,0.001433 352049611926575,0.001353 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op28;HostCpuOps;352025555511590,0.006512 352025793936324,0.003314 352026013536184,0.003773 352026228979637,0.002526 352026438976115,0.003758 352026652408858,0.003382 352026864165581,0.003197 352029723353323,0.003061 352029936162585,0.002631 352030148713073,0.004521 352030364353311,0.002834 352030601980507,0.004613 352030857815765,0.003579 352031094426634,0.002804 352031336136467,0.003153 352031577459083,0.002824 352031821663746,0.003804 352032052627275,0.004153 352032278611786,0.003017 352032502344938,0.003464 352032720546777,0.003075 352032942957760,0.004431 352033156999715,0.003252 352033389711248,0.003247 352033605742540,0.003802 352033820864167,0.004865 352034048619391,0.005561 352034278246678,0.005523 352034505150908,0.004941 352034727463956,0.006305 352034948772722,0.002676 352035169035578,0.002886 352035385851852,0.004488 352035606604439,0.002781 352035831240850,0.002888 352036051005758,0.002726 352036270283641,0.003402 352036488432536,0.004119 352036713531623,0.003632 352036935382595,0.002599 352037150706275,0.002899 352037369110911,0.00268 352037583298367,0.002978 352037795640948,0.002928 352038009955827,0.003653 352038222535955,0.003872 352038433374837,0.003105 352038646562159,0.004182 352038863471551,0.003158 352039071759514,0.00344 352039282603520,0.003017 352039493309900,0.004267 352039704600015,0.003361 352039914423512,0.003741 352040124264928,0.003368 352040332862456,0.003435 352040548088730,0.003961 352040763098237,0.002657 352040972065700,0.003432 352041181765124,0.003241 352041392805830,0.00337 352041604483888,0.004092 352041816578605,0.002603 352042028680669,0.003395 352042239379053,0.003417 352042448430804,0.004483 352042660849268,0.003277 352042869638411,0.003016 352043082351224,0.004125 352043301752205,0.003271 352043514018736,0.00347 352043722346980,0.003345 352043935436893,0.003255 352044143768002,0.00363 352044353248789,0.004416 352044562970508,0.003542 352044775232197,0.003605 352044985027036,0.002897 352045196516020,0.003322 352045408066345,0.00277 352045617733104,0.004279 352045828331943,0.003027 352046037749598,0.002948 352046247559478,0.002555 352046458078321,0.0029 352046666250700,0.003652 352046879068503,0.003205 352047089141379,0.002637 352047298379800,0.003478 352047506761814,0.002761 352047715530468,0.002915 352047929255181,0.003006 352048139756723,0.002603 352048349471561,0.00288 352048559029964,0.002678 352048768102685,0.004025 352048980381963,0.002597 352049192817115,0.003381 352049402630000,0.002655 352049611892103,0.002338 
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op29;HostCpuOps;352025555533148,0.033874 352025793957668,0.002278 352026013562595,0.002783 352026228995613,0.002096 352026439018914,0.004532 352026652433248,0.002243 352026864190012,0.00254 352029723370830,0.001978 352029936181566,0.002438 352030148740140,0.00256 352030364376578,0.002386 352030602010635,0.003762 352030857842145,0.002398 352031094449030,0.002069 352031336160698,0.002124 352031577506033,0.002541 352031821692118,0.002982 352032052651418,0.002402 352032278634990,0.002375 352032502370451,0.002645 352032720575215,0.002438 352032942984668,0.003328 352033157023988,0.002383 352033389736073,0.00227 352033605763321,0.002324 352033820890716,0.002875 352034048648638,0.002074 352034278276135,0.002555 352034505178566,0.002257 352034727495849,0.002014 352034948781497,0.00203 352035169044197,0.001835 352035385862435,0.00269 352035606612402,0.002252 352035831248516,0.001886 352036051013979,0.001894 352036270293376,0.002315 352036488443536,0.002949 352036713540120,0.00201 352036935390945,0.001907 352037150713949,0.001822 352037369119281,0.001799 352037583307357,0.002027 352037795649482,0.002114 352038009965068,0.001916 352038222545923,0.002194 352038433383157,0.002599 352038646574813,0.002319 352038863479979,0.002154 352039071768931,0.002047 352039282611691,0.002486 352039493322565,0.002448 352039704609058,0.002395 352039914433837,0.002675 352040124273866,0.002182 352040332872307,0.002966 352040548098683,0.00248 352040763106578,0.002051 352040972074764,0.002 352041181774349,0.002324 352041392814302,0.00204 352041604494367,0.002716 352041816586736,0.0019 352042028690198,0.002292 352042239388970,0.002112 352042448442632,0.002402 352042660859212,0.002069 352042869646721,0.002287 352043082361549,0.002695 352043301761860,0.002309 352043514028864,0.002539 352043722356921,0.002589 352043935445948,0.002565 352044143778278,0.002839 352044353260226,0.003073 352044562981352,0.00227 352044775348945,0.003222 352044985036367,0.002555 352045196524813,0.002134 352045408075273,0.002137 352045617743925,0.002954 352045828341042,0.002213 352046037758500,0.00273 352046247567467,0.001942 352046458085620,0.00192 352046666261155,0.002364 352046879078009,0.001971 352047089149070,0.001965 352047298389541,0.00274 352047506770628,0.002159 352047715538671,0.002096 352047929263947,0.002113 352048139764537,0.001832 352048349479974,0.001921 352048559037646,0.002238 352048768115209,0.003107 352048980388444,0.002111 352049192826990,0.002802 352049402637324,0.001702 352049611899122,0.001837 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26;HostCpuOps;352025549781200,5.49858 352025793872502,0.018023 352026013467733,0.019372 352026228932735,0.014245 352026438908863,0.023806 352026652348915,0.016005 352026864100388,0.016657 352029723304508,0.015812 352029936107930,0.014814 352030148638494,0.023582 352030364285555,0.020627 352030601897890,0.023779 352030857748254,0.020782 352031094369332,0.01609 352031336073801,0.0165 352031577394553,0.017514 352031820051165,0.029861 352032052557982,0.022944 352032278550159,0.017521 352032502279256,0.016314 352032720477869,0.018758 352032942882991,0.020051 352033156936374,0.017196 352033389645837,0.016959 352033605475999,0.026665 352033820797722,0.019417 352034048550908,0.018517 352034278159130,0.022445 352034505082100,0.018363 352034727393206,0.020816 352034948729323,0.02107 352035168983268,0.025999 352035385797665,0.0243 352035606566459,0.017008 352035831195567,0.02077 352036050962558,0.019757 352036270233388,0.023838 352036488374515,0.028397 352036713481586,0.023821 352036935344181,0.0169 352037150668220,0.017386 352037369069790,0.01876 352037583252511,0.021381 352037795600726,0.017726 352038009912880,0.019602 352038222481490,0.029079 352038433318764,0.018478 352038646504472,0.025816 352038863430520,0.018991 352039071714731,0.020899 352039282559257,0.020584 352039493253591,0.025331 352039704556491,0.019823 352039914374647,0.022563 352040124218495,0.02054 352040332811349,0.023855 352040548037119,0.025099 352040763056629,0.021451 352040972021909,0.019167 352041181720159,0.020538 352041392758971,0.021898 352041604430317,0.026494 352041816538438,0.017694 352042028630599,0.024423 352042239329823,0.02132 352042448374983,0.024966 352042660800485,0.021742 352042869598869,0.017409 352043082293165,0.027626 352043301696831,0.025564 352043513969884,0.021946 352043722295399,0.023648 352043935383849,0.020916 352044143717880,0.02311 352044353192339,0.020529 352044562909827,0.028474 352044775177534,0.026255 352044984983249,0.019669 352045196392597,0.024555 352045408019091,0.021703 352045617683198,0.022081 352045828288616,0.02026 352046037694109,0.026332 352046247488936,0.020306 352046458041386,0.017673 352046666204339,0.020934 352046879019240,0.022809 352047089100476,0.016768 352047298329512,0.024017 352047506718346,0.020374 352047715488763,0.019147 352047929219114,0.01603 352048139712177,0.017242 352048349435590,0.017991 352048558994212,0.017498 352048768039227,0.0299 352048980345924,0.01695 352049192765167,0.025703 352049402588623,0.016645 352049611858517,0.01743 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op27;HostCpuOps;352025555407007,0.030181 352025793913311,0.004446 352026013510810,0.004241 352026228962915,0.003478 352026438953859,0.004642 352026652386423,0.003751 352026864139188,0.004407 352029723334956,0.00372 352029936141520,0.003482 352030148687346,0.004803 352030364328934,0.005435 352030601950515,0.006877 352030857792519,0.004075 352031094404680,0.003978 352031336113089,0.004334 352031577434800,0.005428 352031821628203,0.008622 352032052603694,0.004903 352032278589910,0.00396 352032502318994,0.005402 352032720521312,0.004786 352032942929772,0.006001 352033156975792,0.004994 352033389686147,0.004394 352033605704135,0.004698 352033820841372,0.003274 352034048596355,0.003139 352034278218076,0.003256 352034505126272,0.003152 352034727439208,0.003381 352034948756464,0.00281 352035169016512,0.003442 352035385832706,0.003525 352035606589562,0.002866 352035831222919,0.003386 352036050988476,0.00299 352036270264633,0.003747 352036488409877,0.004463 352036713512894,0.002604 352036935367002,0.002691 352037150691135,0.002552 352037369095271,0.002997 352037583281080,0.003214 352037795625153,0.002853 352038009938208,0.003079 352038222518149,0.003316 352038433344550,0.014618 352038646539455,0.004821 352038863455681,0.003 352039071742412,0.002872 352039282586441,0.003212 352039493287731,0.004065 352039704583169,0.002729 352039914404521,0.003478 352040124246303,0.003569 352040332842965,0.004108 352040548069467,0.003564 352040763083826,0.00291 352040972047269,0.003353 352041181747238,0.003144 352041392787781,0.003628 352041604464011,0.003961 352041816561830,0.003239 352042028662639,0.003447 352042239359658,0.003471 352042448408503,0.004103 352042660829281,0.002969 352042869622806,0.002703 352043082329594,0.00369 352043301731088,0.003991 352043513999228,0.003257 352043722326886,0.004043 352043935412913,0.003065 352044143748831,0.003409 352044353219817,0.003204 352044562948452,0.003554 352044775212203,0.003856 352044985009157,0.003464 352045196424534,0.071781 352045408048260,0.003356 352045617712771,0.003428 352045828315416,0.00321 352046037728677,0.004466 352046247515883,0.003179 352046458064492,0.002904 352046666231995,0.003111 352046879049264,0.003205 352047089121792,0.006666 352047298360357,0.003374 352047506745098,0.003195 352047715513913,0.003305 352047929240197,0.002665 352048139739653,0.002615 352048349458418,0.002608 352048559016629,0.00263 352048768079120,0.004322 352048980367893,0.00279 352049192798848,0.003335 352049402610015,0.006997 352049611880359,0.002535 
Default/optimizer-Momentum/ApplyMomentum-op34;HostCpuOps;352025555642236,0.001457 352025794057785,0.001026 352026013685250,0.00108 352026229071418,0.00088 352026439365181,0.001124 352026652497281,0.000828 352026864275257,0.000792 352029723425674,0.001002 352029936269928,0.000873 352030148849275,0.00089 352030364472387,0.000971 352030602124137,0.001523 352030857945710,0.001184 352031094537438,0.000944 352031336255259,0.000999 352031577596128,0.000897 352031821814659,0.000998 352032052744772,0.001006 352032278753417,0.000971 352032502468921,0.000882 352032720710608,0.001167 352032943090741,0.001247 352033157116733,0.001025 352033389830176,0.001047 352033605856437,0.00087 352033820996696,0.000857 352034048751481,0.000913 352034278382900,0.000959 352034505284390,0.001019 352034727605182,0.00098 352034948831166,0.000891 352035169094617,0.001101 352035385923388,0.001045 352035606661737,0.00114 352035831299294,0.001103 352036051065650,0.000885 352036270353891,0.000949 352036488508389,0.001082 352036713593477,0.001268 352036935435813,0.000887 352037150758412,0.000776 352037369165778,0.001075 352037583360456,0.001037 352037795699107,0.001103 352038010020693,0.001146 352038222625154,0.000831 352038433433728,0.000787 352038646662461,0.000931 352038863528196,0.001236 352039071821809,0.000866 352039282663673,0.000935 352039493411072,0.001022 352039704663006,0.000823 352039914493835,0.001262 352040124327274,0.001005 352040332928953,0.001011 352040548218939,0.00096 352040763150756,0.000868 352040972129577,0.001169 352041181826322,0.00088 352041392866511,0.001006 352041604558388,0.001016 352041816638280,0.000944 352042028750921,0.001218 352042239445673,0.000866 352042448506202,0.001138 352042660918633,0.001082 352042869694262,0.000855 352043082423356,0.001184 352043301821919,0.001062 352043514084256,0.001224 352043722415168,0.001138 352043935531250,0.000901 352044143837379,0.000931 352044353324374,0.001064 352044563052960,0.001472 352044775412814,0.000996 352044985092586,0.000912 352045196584372,0.001346 352045408126498,0.001089 352045617802063,0.001085 352045828393785,0.001435 352046037816272,0.0013 352046247614263,0.000748 352046458125639,0.000813 352046666312780,0.001376 352046879135146,0.000993 352047089215545,0.001181 352047298449815,0.001341 352047506821860,0.000905 352047715592901,0.00114 352047929311415,0.001031 352048139816058,0.000937 352048349519212,0.001234 352048559088234,0.000978 352048768184533,0.001272 352048980427590,0.000723 352049192884352,0.000934 352049402679025,0.000989 352049611938221,0.000767 
Default/optimizer-Momentum/ApplyMomentum-op35;HostCpuOps;352025555656080,0.001058 352025794073930,0.000667 352026013700849,0.00052 352026229083846,0.000689 352026442435908,0.001806 352026652520075,0.001015 352026864292828,0.000467 352029723440633,0.000521 352029936333493,0.000534 352030148866947,0.000567 352030364489367,0.000628 352030602143200,0.0007 352030857963552,0.000525 352031094552997,0.000675 352031336273559,0.000658 352031577611892,0.000646 352031821832843,0.000537 352032052761484,0.000543 352032278771683,0.000655 352032502486105,0.000473 352032720731029,0.000545 352032943108774,0.00063 352033157133810,0.000637 352033389845690,0.000665 352033605874660,0.000529 352033821013812,0.000779 352034048769631,0.000693 352034278401178,0.00062 352034505303605,0.00066 352034727623774,0.000599 352034948851694,0.000543 352035169116568,0.000451 352035385951461,0.000536 352035606681601,0.00047 352035831321514,0.000661 352036051087615,0.000563 352036270379162,0.000564 352036488533160,0.000882 352036713618230,0.000579 352036935456932,0.000544 352037150778841,0.000559 352037369187565,0.000675 352037583383999,0.000573 352037795721531,0.000594 352038010050120,0.00074 352038222646784,0.000604 352038433452259,0.000451 352038646686789,0.000762 352038863548345,0.000401 352039071844829,0.000794 352039282686424,0.00068 352039493439387,0.000652 352039704686122,0.000621 352039914519580,0.000601 352040124350862,0.000565 352040332952716,0.000532 352040548243833,0.000632 352040763167795,0.000516 352040972152315,0.000558 352041181849362,0.000689 352041392890050,0.000568 352041604582665,0.000828 352041816660674,0.000674 352042028781018,0.000681 352042239498349,0.000522 352042448532862,0.000631 352042660948141,0.00069 352042869716279,0.000615 352043082450545,0.00075 352043301845645,0.000711 352043514109879,0.000657 352043722438740,0.000709 352043935554169,0.000643 352044143863564,0.000677 352044353349409,0.000712 352044563084589,0.000642 352044775441447,0.00059 352044985115666,0.000712 352045196680325,0.000839 352045408149771,0.00064 352045617828546,0.000584 352045828416505,0.000939 352046037841501,0.000717 352046247636264,0.000572 352046458141116,0.000453 352046666336020,0.000706 352046879162928,0.000742 352047089240337,0.000514 352047298475099,0.00064 352047506843768,0.000891 352047715619120,0.000707 352047929332276,0.000546 352048139838464,0.000568 352048349536903,0.000464 352048559111714,0.000584 352048768212798,0.000823 352048980443472,0.000503 352049192911195,0.000823 352049402695252,0.000464 352049611957583,0.000571 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op32;HostCpuOps;352025555598084,0.022267 352025794005372,0.008461 352026013628468,0.007793 352026229033451,0.00532 352026439322172,0.01361 352026652450027,0.00677 352026864227870,0.00574 352029723394961,0.007043 352029936212050,0.010388 352030148794217,0.007825 352030364423417,0.007007 352030602067488,0.008405 352030857890910,0.00819 352031094493091,0.007759 352031336207974,0.006953 352031577552656,0.006757 352031821744516,0.018256 352032052698807,0.007028 352032278683254,0.024677 352032502420718,0.007133 352032720628881,0.007045 352032943036425,0.007083 352033157071251,0.006546 352033389783292,0.006697 352033605793091,0.008493 352033820942983,0.007278 352034048697873,0.007729 352034278327334,0.008372 352034505230332,0.008103 352034727547283,0.008709 352034948839812,0.006873 352035169103874,0.007145 352035385936449,0.008174 352035606670354,0.006546 352035831309336,0.006752 352036051074752,0.007238 352036270364521,0.008404 352036488519559,0.007752 352036713604217,0.008713 352036935444881,0.006598 352037150767116,0.00671 352037369174911,0.007108 352037583370364,0.008166 352037795708499,0.007488 352038010033656,0.008744 352038222634275,0.007308 352038433441139,0.007294 352038646673144,0.00758 352038863537104,0.007082 352039071831737,0.007825 352039282673486,0.007342 352039493423147,0.009526 352039704673173,0.00725 352039914504132,0.008713 352040124337538,0.007467 352040332938835,0.00781 352040548228846,0.00933 352040763157877,0.005641 352040972139576,0.007071 352041181835635,0.007464 352041392876359,0.008309 352041604568441,0.008282 352041816647850,0.006963 352042028761795,0.01229 352042239456858,0.035217 352042448517814,0.008998 352042660929867,0.011587 352042869704232,0.007197 352043082434515,0.009644 352043301831977,0.007825 352043514095437,0.008226 352043722424496,0.0081 352043935541667,0.007422 352044143847477,0.009438 352044353335015,0.00825 352044563065423,0.011268 352044775423892,0.011086 352044985102300,0.007795 352045196660964,0.010583 352045408136308,0.007457 352045617813180,0.009302 352045828403785,0.00754 352046037827289,0.00791 352046247623332,0.007128 352046458132638,0.004888 352046666323248,0.007118 352046879146305,0.009443 352047089225684,0.008241 352047298461130,0.008009 352047506831438,0.00731 352047715603142,0.009173 352047929320207,0.007021 352048139825933,0.007169 352048349526896,0.005864 352048559097567,0.007886 352048768195952,0.009347 352048980434408,0.004884 352049192895128,0.009413 352049402686107,0.00532 352049611945028,0.006587 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op33;HostCpuOps;352025555624216,0.004634 352025794021849,0.001904 352026013642678,0.00182 352026229045327,0.00117 352026439340151,0.002354 352026652461367,0.005636 352026864238908,0.001363 352029723403470,0.001576 352029936251663,0.002123 352030148810317,0.002383 352030364435275,0.001518 352030602082611,0.002021 352030857904732,0.001544 352031094506217,0.001573 352031336220303,0.0021 352031577565048,0.001602 352031821769925,0.001509 352032052711248,0.001806 352032278716232,0.002318 352032502434135,0.001923 352032720641674,0.001916 352032943049680,0.002036 352033157083429,0.001642 352033389795209,0.001425 352033605836611,0.002271 352033820956025,0.00157 352034048711400,0.001601 352034278341122,0.001661 352034505245206,0.001787 352034727562653,0.001865 352034948824386,0.001844 352035169087375,0.001579 352035385915730,0.001701 352035606654907,0.001767 352035831292799,0.001738 352036051058564,0.00171 352036270345468,0.002215 352036488499618,0.002279 352036713586849,0.001653 352036935429270,0.001441 352037150752433,0.001767 352037369159146,0.001676 352037583354229,0.001619 352037795692212,0.001424 352038010013927,0.001761 352038222618046,0.001865 352038433427816,0.00148 352038646655909,0.001715 352038863521745,0.00171 352039071814652,0.001817 352039282657151,0.001691 352039493402186,0.002175 352039704656219,0.00167 352039914485015,0.002255 352040124320220,0.001741 352040332921331,0.001776 352040548211235,0.002013 352040763144374,0.001564 352040972122697,0.001673 352041181819582,0.001707 352041392860239,0.001704 352041604549961,0.00191 352041816632076,0.001768 352042028743222,0.001823 352042239438274,0.001641 352042448497634,0.001849 352042660910035,0.00212 352042869687811,0.001873 352043082415426,0.001901 352043301813543,0.00181 352043514077465,0.001816 352043722407303,0.001752 352043935496981,0.001719 352044143829740,0.00193 352044353316479,0.001956 352044563042873,0.002325 352044775404627,0.001779 352044985085131,0.00182 352045196577226,0.002057 352045408119210,0.001921 352045617794687,0.001731 352045828386577,0.002014 352046037808496,0.00217 352046247607919,0.001553 352046458120349,0.001521 352046666306165,0.001701 352046879126851,0.002256 352047089208039,0.002073 352047298442302,0.001786 352047506815004,0.001684 352047715585395,0.002033 352047929305236,0.001516 352048139809551,0.001462 352048349513456,0.001555 352048559080929,0.001988 352048768175457,0.002559 352048980422501,0.001345 352049192876561,0.002053 352049402673042,0.001519 352049611932487,0.001409 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op31;HostCpuOps;352025555584465,0.004705 352025793989864,0.005357 352026013613240,0.005345 352026229021999,0.003803 352026439043644,0.006674 352026652483868,0.004219 352026864216880,0.00392 352029723390121,0.004221 352029936205289,0.004696 352030148778435,0.004432 352030364410054,0.004899 352030602049871,0.007728 352030857875960,0.005728 352031094480417,0.004053 352031336194677,0.004154 352031577540503,0.004144 352031821730838,0.004508 352032052686788,0.004217 352032278670947,0.003819 352032502406990,0.004085 352032720614605,0.004793 352032943021270,0.006498 352033157058662,0.004211 352033389770739,0.004292 352033605783601,0.004807 352033820928332,0.005421 352034048683924,0.004673 352034278313569,0.004886 352034505215751,0.004717 352034727532435,0.005423 352034948788491,0.004932 352035169050568,0.005378 352035385872022,0.00523 352035606619367,0.004114 352035831256374,0.004755 352036051020826,0.006084 352036270302326,0.006327 352036488452284,0.005938 352036713547302,0.004788 352036935397749,0.004379 352037150720655,0.004283 352037369125568,0.004665 352037583315630,0.00617 352037795656256,0.00448 352038009973213,0.004941 352038222553614,0.004992 352038433392152,0.004861 352038646583367,0.006272 352038863487425,0.004584 352039071776359,0.004545 352039282620074,0.004973 352039493346176,0.005421 352039704617676,0.004637 352039914442077,0.004964 352040124281688,0.005857 352040332880759,0.005424 352040548108098,0.005772 352040763112641,0.004572 352040972082462,0.004845 352041181781640,0.004847 352041392823076,0.005411 352041604501779,0.005344 352041816594389,0.004351 352042028699303,0.005592 352042239398101,0.004956 352042448450990,0.005388 352042660867711,0.005257 352042869653371,0.004261 352043082371225,0.006231 352043301769756,0.005443 352043514037501,0.005369 352043722365227,0.005589 352043935454805,0.005005 352044143786544,0.005146 352044353271055,0.006383 352044562990040,0.006534 352044775359450,0.00483 352044985043599,0.004391 352045196533339,0.005181 352045408082400,0.00452 352045617753909,0.005158 352045828348015,0.00542 352046037767642,0.005195 352046247573575,0.004398 352046458092243,0.003687 352046666268981,0.00512 352046879086551,0.005639 352047089155707,0.004946 352047298399283,0.006011 352047506777778,0.004756 352047715546530,0.004938 352047929270551,0.004598 352048139771942,0.003904 352048349485540,0.003899 352048559045319,0.005266 352048768125311,0.007135 352048980394496,0.00366 352049192835599,0.005022 352049402642934,0.003926 352049611904557,0.003887 
